TAMANHO_REGISTRO:136|LIVRE:-1
DELIM_CAMPO:|                                                                                                                           
name|episodes|votes|weight|rate|genres                                                                                                  
Yowamushi Pedal|65|133|637|4.79|Action, Drama, Shonen, Sports                                                                           
Biyou Shounen Celebrity|0|133|634|4.77|Comedy, Jdrama                                                                                   
If It's for My Daughter, I'd Even Defeat a Demon Lord|12|133|536|4.03|Fantasy, Slice Of Life                                            
Tsuredure Children|12|132|609|4.61|Comedy, Drama, Romance, Shonen, Slice Of Life                                                        
Fuuka|12|132|449|3.4|Drama, Music, Romance, Shonen                                                                                      
Phi Brain|0|131|581|4.44|                                                                                                               
One-Punch Man|25|127|536|4.22|Action, Comedy, Shonen                                                                                    
World Break: Aria of Curse for a Holy Swordsman|12|125|438|3.5|Action, Fantasy, Harem, Romance, Seinen                                  
Non Non Biyori|24|124|592|4.77|Comedy, Seinen, Slice Of Life                                                                            
Kiss Him, Not Me|12|123|551|4.48|Comedy, Harem, Romance, Shojo                                                                          
A Sister's All You Need.|12|122|526|4.31|Comedy, Drama, Harem, Romance, Slice Of Life                                                   
PUNCH LINE|12|122|520|4.26|Action, Comedy, Sci-Fi, Supernatural                                                                         
Sengoku Collection (Parallel World Samurai)|26|122|514|4.21|Comedy, Fantasy, Historical                                                 
SHELTER|0|121|585|4.83|Adventure, Drama, Music, Post-Apocalyptic, Sci-Fi                                                                
sweetness & lightning|12|121|569|4.7|Comedy, Drama, Seinen, Slice Of Life                                                               
Peeping Life|0|121|480|3.97|Comedy, Slice Of Life                                                                                       
Asobi Asobase - workshop of fun -|12|120|577|4.81|Comedy, Slice Of Life                                                                 
Myriad Colors Phantom World|13|120|466|3.88|Fantasy, Slice Of Life                                                                      
Ascendance of a Bookworm|16|119|561|4.71|Adventure, Fantasy, Isekai                                                                     
Saekano -How to Raise a Boring Girlfriend-|13|119|513|4.31|Comedy, Drama, Harem, Romance, Slice Of Life                                 
Tanaka-kun is Always Listless|12|118|558|4.73|Comedy, Shonen, Slice Of Life                                                             
How to Keep a Mummy|12|117|558|4.77|Comedy, Slice Of Life, Supernatural                                                                 
Love Tyrant|12|117|449|3.84|Comedy, Fantasy, Harem, Romance, Supernatural                                                               
Drifters|0|115|530|4.61|Action, Drama, Fantasy, Historical, Isekai                                                                      
SHIROBAKO|24|111|538|4.85|                                                                                                              
Digimon Xros Wars - The Young Hunters Who Leapt Through Time|0|111|515|4.64|                                                            
Izetta: The Last Witch|12|111|447|4.03|Action, Drama, Fantasy, Historical, Romance, Supernatural                                        
La storia della Arcana Famiglia|0|110|364|3.31|                                                                                         
My Roommate is a Cat|12|109|522|4.79|Comedy, Drama, Slice Of Life                                                                       
Magical Play|0|109|473|4.34|Magical Girls                                                                                               
White Album 2|13|109|469|4.3|Drama, Harem, Idols, Music, Romance, Slice Of Life                                                         
GA Geijutsuka Art Design Class|0|108|496|4.59|Comedy, Seinen, Slice Of Life                                                             
Beautiful Bones -Sakurako's Investigation-|12|108|492|4.56|Drama, Mystery, Thriller                                                     
Pop Team Epic|16|108|423|3.92|Action, Comedy                                                                                            
Love, Chunibyo & Other Delusions|0|107|517|4.83|Comedy, Drama, Romance, Slice Of Life                                                   
AHO-GIRL|12|107|454|4.24|Comedy, Slice Of Life                                                                                          
Spiritpact|22|107|401|3.75|Action, Adventure, Drama, Seinen, Supernatural                                                               
Showa Genroku Rakugo Shinju|25|106|520|4.91|Drama, Historical, Romance                                                                  
HENNEKO - The Hentai Prince and the Stony Cat -|0|106|486|4.58|Drama, Romance, Supernatural                                             
Noblesse: Awakening|0|105|486|4.63|Action, Supernatural, Thriller                                                                       
Cute High Earth Defense Club LOVE!|37|105|457|4.35|Comedy, Slice Of Life                                                                
Twin Angel: Twinkle Paradise|0|105|415|3.95|Magical Girls                                                                               
Samurai Flamenco|22|105|400|3.81|Action, Comedy, Sci-Fi, Supernatural                                                                   
KADO: The Right Answer|14|104|400|3.85|Drama, Sci-Fi, Seinen                                                                            
Hakkenden: Eight Dogs of the East|26|103|478|4.64|Action, Fantasy, Shojo, Supernatural                                                  
Sherlock Hound|0|103|470|4.56|Action, Adventure, Mystery                                                                                
Chaika - The Coffin Princess-|22|103|442|4.29|Action, Adventure, Fantasy, Supernatural                                                  
Ixion Saga DT|25|103|388|3.77|Action, Fantasy                                                                                           
A Certain Magical Index|26|103|366|3.55|Action, Fantasy, Sci-Fi                                                                         
Rozen Maiden|0|102|504|4.94|Drama, Fantasy, Supernatural                                                                                
Kakuriyo -Bed & Breakfast for Spirits-|0|102|495|4.85|Drama, Romance, Supernatural                                                      
Infinite Stratos|0|102|359|3.52|Action, Harem, Mecha, Romance, Sci-Fi                                                                   
BIG ORDER|10|102|248|2.43|Action, Drama, Mystery, Post-Apocalyptic, Thriller                                                            
NANBAKA|26|101|448|4.44|Comedy, Slice Of Life                                                                                           
Gabriel DropOut|12|101|436|4.32|Comedy, Shonen, Slice Of Life, Supernatural                                                             
Natsuyuki Rendezvous|0|101|404|4.0|Romance, Supernatural                                                                                
Rurouni Kenshin|0|100|480|4.8|Action, Adventure, Historical, Romance, Shonen                                                            
Anti-Magic Academy: The 35th Test Platoon|12|100|352|3.52|Action, Drama, Fantasy                                                        
Gatchaman Crowds|13|99|411|4.15|Action, Sci-Fi                                                                                          
Schwarzes Marken|24|99|394|3.98|Action, Drama, Historical, Mecha, Post-Apocalyptic, Sci-Fi                                              
Bladedance of Elementalers|12|99|359|3.63|Action, Comedy, Fantasy, Harem, Romance                                                       
Saki Episode of Side A|16|98|439|4.48|Slice Of Life, Sports                                                                             
Valerian and Laureline|0|98|437|4.46|Adventure, Drama, Romance, Sci-Fi                                                                  
Fox Spirit Matchmaker|24|98|370|3.78|Comedy, Fantasy, Romance                                                                           
Hand Shakers|12|98|272|2.78|Action, Sci-Fi                                                                                              
Case Closed|0|97|477|4.92|Adventure, Drama, Mystery, Thriller                                                                           
Oreshura|0|97|412|4.25|Comedy, Harem, Romance, Slice Of Life                                                                            
Conception|12|97|225|2.32|Action, Adventure, Drama, Fantasy, Romance, Sci-Fi                                                            
Thunderbolt Fantasy|0|95|445|4.68|Action, Drama, Fantasy, Historical                                                                    
Yamishibai|91|95|416|4.38|Mystery, Supernatural, Thriller                                                                               
gen:LOCK|8|95|380|4.0|Action, Mecha, Sci-Fi                                                                                             
Folktales from Japan|300|94|448|4.77|Historical                                                                                         
DAKAICHI -I'm being harassed by the sexiest man of the year-|13|94|404|4.3|Romance                                                      
Bloodivores|12|94|227|2.41|Action, Supernatural                                                                                         
Humanity Has Declined|12|93|412|4.43|Comedy                                                                                             
Hamatora|24|93|388|4.17|Action, Comedy, Drama, Mystery, Supernatural                                                                    
The Silver Guardian|18|93|270|2.9|Action, Fantasy, Isekai, Sci-Fi, Supernatural                                                         
Go Lion|0|92|428|4.65|Action, Adventure, Mecha, Sci-Fi                                                                                  
Tari Tari|0|91|433|4.76|Drama, Music, Slice Of Life                                                                                     
Dog & Scissors|12|91|358|3.93|Comedy, Supernatural                                                                                      
GTO - The Animation|43|90|442|4.91|Comedy, Drama, Shonen, Slice Of Life                                                                 
Dog Days|26|90|387|4.3|Action, Comedy                                                                                                   
Death Note (Drama)|11|90|379|4.21|                                                                                                      
Ulysses: Jeanne d'Arc and the Alchemist Knight|12|90|190|2.11|Action, Fantasy, Historical                                               
Mr. Osomatsu|58|89|419|4.71|Comedy, Slice Of Life                                                                                       
One Week Friends|0|89|416|4.67|Drama, Romance, Slice Of Life                                                                            
Love, Chunibyo & Other Delusions - Heart Throb -|0|89|404|4.54|Comedy, Drama, Romance, Slice Of Life                                    
When Supernatural Battles Became Commonplace|12|89|370|4.16|Action, Comedy, Harem, Romance, Slice Of Life, Supernatural                 
PERSONA5 the Animation|28|89|351|3.94|Action, Mystery, Supernatural, Thriller                                                           
FLIP FLAPPERS|13|88|417|4.74|Adventure, Comedy, Fantasy, Magical Girls                                                                  
Keep Your Hands Off Eizouken!|11|88|413|4.69|Adventure, Comedy, Drama, Slice Of Life                                                    
We Never Learn: BOKUBEN|26|87|397|4.56|Comedy, Harem, Romance, Shonen, Slice Of Life                                                    
Interlude|0|87|362|4.16|Mystery                                                                                                         
Love is Like a Cocktail|13|87|358|4.11|Comedy, Romance, Seinen, Slice Of Life                                                           
Fate/kaleid liner PRISMA ILLYA|42|87|356|4.09|Action, Fantasy, Magical Girls, Supernatural                                              
Majestic Prince|0|87|354|4.07|Action, Mecha, Sci-Fi                                                                                     
Hitori No Shita - The Outcast|37|87|340|3.91|Action, Supernatural                                                                       
School Babysitters|13|86|413|4.8|Comedy, Drama, Shojo, Slice Of Life                                                                    
Aoharu x Machinegun|0|86|383|4.45|Action, Comedy, Drama                                                                                 
Orenchi no Furo Jijo|13|86|374|4.35|Comedy, Fantasy, Romance, Shojo, Slice Of Life                                                      
The Kawai Complex Guide to Manors and Hostel Behavior|0|85|390|4.59|Comedy, Romance, Seinen, Slice Of Life                              
In/Spectre|11|85|327|3.85|Action, Drama, Fantasy, Mystery, Romance, Supernatural, Thriller                                              
BLACKFOX|1|85|322|3.79|Action, Sci-Fi                                                                                                   
Naked Wolves|0|85|221|2.6|Comedy, Sports                                                                                                
Barakamon|0|84|407|4.85|Comedy, Seinen, Slice Of Life                                                                                   
Nobunaga Concerto|10|84|402|4.79|Adventure, Comedy, Historical, Romance, Shonen                                                         
PandoraHearts|0|84|378|4.5|Action, Adventure, Fantasy, Mystery, Shonen, Thriller                                                        
Blood Blockade Battlefront|24|83|383|4.61|Action, Drama, Sci-Fi, Supernatural                                                           
Is the Order a Rabbit?|24|82|388|4.73|Comedy, Slice Of Life                                                                             
Golden Kamuy|24|82|384|4.68|Action, Adventure, Drama, Historical, Mystery, Seinen, Slice Of Life                                        
Os Cavaleiros do Zodíaco - Saintia Sho|10|82|310|3.78|Action, Fantasy, Sci-Fi, Shonen                                                   
Servant x Service|13|81|381|4.7|Comedy, Romance, Seinen, Slice Of Life                                                                  
Hakata Tonkotsu Ramens|12|81|379|4.68|Action, Drama, Mystery                                                                            
Steins;Gate 0|0|81|375|4.63|Drama, Mystery, Post-Apocalyptic, Sci-Fi, Thriller                                                          
Kyousougiga|13|80|382|4.78|Action, Fantasy, Sci-Fi, Slice Of Life, Supernatural                                                         
Magical Sempai|12|80|340|4.25|Comedy                                                                                                    
Actually, I Am|13|80|336|4.2|Comedy, Romance, Supernatural                                                                              
AKB0048|26|78|365|4.68|Action, Adventure, Drama, Fantasy, Idols, Music, Sci-Fi                                                          
Senyu.|26|78|339|4.35|Action, Comedy, Fantasy, Shonen                                                                                   
Jingai-san no Yome|12|78|268|3.44|Comedy, Romance, Slice Of Life                                                                        
Cardcaptor Sakura|0|77|367|4.77|Action, Adventure, Comedy, Fantasy, Shojo                                                               
Sarazanmai|11|77|342|4.44|Drama, Mystery, Supernatural, Thriller                                                                        
Outbreak Company|0|77|340|4.42|Action, Adventure, Comedy, Fantasy, Harem, Isekai, Romance                                               
Little Busters!|0|77|338|4.39|Comedy, Drama, Slice Of Life                                                                              
GRANBLUE FANTASY: The Animation|26|77|296|3.84|Adventure, Fantasy                                                                       
She and Her Cat -Everything Flows-|4|76|355|4.67|Drama, Fantasy, Seinen, Slice Of Life                                                  
Sakura Trick|0|76|340|4.47|Comedy, Romance, Slice Of Life                                                                               
The Comic Artist and His Assistants|12|76|329|4.33|Comedy, Harem, Seinen, Slice Of Life                                                 
Elegant Yokai Apartment Life|26|76|314|4.13|Drama, Fantasy, Slice Of Life, Supernatural                                                 
SPACE PATROL LULUCO|14|75|345|4.6|Action, Comedy, Fantasy, Romance, Sci-Fi                                                              
Nobunaga the Fool|0|75|249|3.32|Action, Mecha, Sci-Fi                                                                                   
Broken Blade|0|74|340|4.59|Action, Adventure, Drama, Fantasy, Mecha, Sci-Fi, Shonen                                                     
The Royal Tutor|13|74|337|4.55|Comedy, Historical, Shonen, Slice Of Life                                                                
The Perfect Insider|11|74|287|3.88|Drama, Mystery, Sci-Fi, Seinen, Thriller                                                             
The Helpful Fox Senko-san|0|73|352|4.82|Comedy, Slice Of Life, Supernatural                                                             
Mischievous Kiss - Love in Tokyo|16|73|329|4.51|                                                                                        
YUKI YUNA IS A HERO|12|73|320|4.38|Action, Adventure, Drama, Fantasy, Supernatural                                                      
ISLAND|12|73|253|3.47|Drama, Sci-Fi, Slice Of Life                                                                                      
A Centaur's Life|12|73|242|3.32|Comedy, Fantasy, Romance, Seinen, Slice Of Life                                                         
THE UNLIMITED Hyobu Kyosuke|12|72|341|4.74|Action, Adventure, Sci-Fi, Supernatural                                                      
Engaged to the Unidentified|0|72|315|4.38|Comedy, Romance, Slice Of Life                                                                
Why the hell are you here, Teacher!?|12|72|285|3.96|Comedy, Harem, Romance                                                              
Vividred Operation|0|72|229|3.18|Action, Mecha, Sci-Fi                                                                                  
Hinomaru Sumo|24|71|335|4.72|Action, Shonen, Sports                                                                                     
Legend of the Galactic Heroes: Die Neue These|24|71|314|4.42|Action, Drama, Sci-Fi                                                      
KanColle|12|71|284|4.0|Action, Sci-Fi                                                                                                   
World Conquest Zvezda Plot|12|70|295|4.21|Action, Adventure, Comedy, Fantasy, Sci-Fi, Shonen                                            
DEVIL SURVIVOR 2 THE ANIMATION|0|70|267|3.81|Action, Supernatural                                                                       
Mushibugyo|26|69|311|4.51|Action, Adventure, Fantasy, Historical                                                                        
Kemono Friends|24|69|300|4.35|Adventure, Comedy, Fantasy, Post-Apocalyptic                                                              
ARGEVOLLEN|24|69|224|3.25|Action, Mecha, Sci-Fi                                                                                         
Dies irae|18|69|191|2.77|Action, Fantasy, Historical                                                                                    
Hozuki's Coolheadedness|13|68|320|4.71|Adventure, Comedy, Fantasy, Seinen, Slice Of Life, Supernatural                                  
Kaiji|52|68|318|4.68|                                                                                                                   
BONJOUR Sweet Love Patisserie|24|68|231|3.4|Harem, Romance, Slice Of Life                                                               
JOKER GAME|24|67|292|4.36|Action, Drama, Historical, Mystery, Seinen, Thriller                                                          
Netsuzou Trap -NTR-|12|67|204|3.04|Drama, Romance, Shojo, Slice Of Life                                                                 
EVIL OR LIVE|13|67|191|2.85|Drama, Seinen, Thriller                                                                                     
Cerberus|13|67|156|2.33|Action, Adventure, Fantasy                                                                                      
Bananya|26|66|301|4.56|Comedy, Slice Of Life                                                                                            
Sin The Movie|0|66|257|3.89|Action, Supernatural                                                                                        
Utawarerumono The False Faces|25|66|225|3.41|Adventure, Fantasy, Sci-Fi, Supernatural                                                   
Cardcaptor Sakura: Clear Card|23|65|299|4.6|Adventure, Comedy, Magical Girls, Shojo                                                     
DENKI-GAI|12|65|294|4.52|Comedy, Slice Of Life                                                                                          
Please tell me! Galko-chan|12|65|285|4.38|Comedy, Slice Of Life                                                                         
Nanana's Buried Treasure|11|65|280|4.31|Comedy, Supernatural                                                                            
OneRoom|25|65|178|2.74|Drama, Romance, Slice Of Life                                                                                    
Triage X|10|64|207|3.23|Action, Shonen                                                                                                  
Sabagebu!|12|63|295|4.68|Action, Comedy, Slice Of Life, Sports                                                                          
ACCA: 13-Territory Inspection Dept.|13|63|292|4.63|Adventure, Drama, Mystery, Sci-Fi, Thriller                                          
Amagi Brilliant Park|0|63|288|4.57|Comedy, Slice Of Life                                                                                
AOKANA: Four Rhythm Across the Blue|12|63|241|3.83|Comedy, Drama, Sci-Fi, Sports                                                        
Persona4 the Golden ANIMATION|12|63|236|3.75|Action, Drama, Mystery, Slice Of Life, Supernatural, Thriller                              
Chain Chronicle - The Light of Haecceitas -|24|63|213|3.38|Action, Adventure, Fantasy                                                   
Skull-face Bookseller Honda-san|12|62|286|4.61|Comedy, Shojo, Slice Of Life                                                             
Nobunagun|13|62|282|4.55|Action, Sci-Fi, Shonen                                                                                         
Occultic;Nine|12|62|228|3.68|Sci-Fi, Supernatural, Thriller                                                                             
Super Sonico - The Animation|0|62|208|3.35|Drama, Music, Slice Of Life                                                                  
Sakura Quest|0|61|281|4.61|                                                                                                             
Umamusume: Pretty Derby|13|61|275|4.51|Drama, Idols, Slice Of Life, Sports                                                              
Magical Girl Ore|12|61|265|4.34|Comedy, Fantasy, Romance                                                                                
HANEBADO!|13|61|237|3.89|Drama, Seinen, Sports                                                                                          
Junji Ito Collection|14|61|222|3.64|Comedy, Drama, Fantasy, Mystery, Supernatural, Thriller                                             
Himegoto|13|61|219|3.59|Comedy, Harem, Slice Of Life                                                                                    
Rail Wars!|0|61|214|3.51|Action, Harem                                                                                                  
Boogiepop and Others|18|60|253|4.22|Drama, Supernatural, Thriller                                                                       
Os Cavaleiros do Zodíaco - Alma de Ouro|13|60|251|4.18|Action, Adventure, Drama, Fantasy, Shonen                                        
To the Abandoned Sacred Beasts|12|60|207|3.45|Action, Drama, Fantasy, Shonen, Supernatural, Thriller                                    
The Morose Mononokean|26|59|260|4.41|Comedy, Drama, Slice Of Life, Supernatural                                                         
Qualidea Code|12|59|206|3.49|Action, Supernatural                                                                                       
makuranodanshi|12|59|194|3.29|                                                                                                          
Clockwork Planet|12|59|186|3.15|Fantasy, Sci-Fi                                                                                         
SENGOKU NIGHT BLOOD|12|59|171|2.9|Action, Fantasy, Harem, Historical, Isekai, Romance, Shojo, Supernatural, Thriller                    
Somali and the Forest Spirit|12|58|278|4.79|Adventure, Drama, Fantasy                                                                   
The Eccentric Family|0|58|271|4.67|Comedy, Drama, Fantasy, Slice Of Life, Supernatural                                                  
Gugure! Kokkuri-san|12|58|264|4.55|Comedy, Slice Of Life, Supernatural                                                                  
Yu-Gi-Oh! VRAINS|120|58|242|4.17|Action, Sci-Fi, Shonen                                                                                 
Phantasy Star Online 2 The Animation|12|58|198|3.41|Action, Adventure, Fantasy, Sci-Fi                                                  
ISUCA|10|58|171|2.95|Action, Comedy, Romance, Supernatural                                                                              
HaNaYaMaTa|12|57|261|4.58|Comedy, Seinen, Slice Of Life                                                                                 
MYSTERIA Friends|10|57|203|3.56|Fantasy, Slice Of Life                                                                                  
BBK/BRNK|24|57|178|3.12|Action, Drama, Mecha, Sci-Fi                                                                                    
Happy Boys|0|56|275|4.91|Comedy, Jdrama, Romance                                                                                        
Monogatari S2|1|56|274|4.89|Action, Comedy, Drama, Fantasy, Harem, Supernatural, Thriller                                               
DAYS|24|56|242|4.32|Drama, Sports                                                                                                       
Rewrite|24|56|197|3.52|Action, Drama, Fantasy, Romance                                                                                  
Hitoribocchi no Marumaruseikatsu|12|55|262|4.76|Comedy, Shonen, Slice Of Life                                                           
Wakakozake|12|55|261|4.75|Comedy, Seinen, Slice Of Life                                                                                 
Love Lab|13|55|252|4.58|Comedy, Romance                                                                                                 
Yurumates3Dei|26|55|239|4.35|Comedy, Slice Of Life                                                                                      
GJ CLUB|0|55|238|4.33|Comedy, Harem, Slice Of Life                                                                                      
Classroom Crisis|13|55|236|4.29|Drama, Romance, Sci-Fi                                                                                  
Kenka Bancho Otome -Girl Beats Boys-|12|55|207|3.76|Action, Drama, Romance, Shojo                                                       
Wizard Barristers|0|55|182|3.31|Action, Fantasy, Supernatural, Thriller                                                                 
The Price of Smiles|12|55|166|3.02|Action, Drama, Fantasy, Mecha, Sci-Fi                                                                
KONOHANA KITAN|12|54|246|4.56|Comedy, Fantasy, Seinen, Slice Of Life                                                                    
Gingitsune: Messenger Fox of the Gods|12|54|243|4.5|Slice Of Life, Supernatural                                                         
Inferno Cop|25|54|237|4.39|Action, Comedy, Sci-Fi, Supernatural                                                                         
The Highschool Life of a Fudanshi|12|54|200|3.7|Comedy, Shojo, Slice Of Life                                                            
Lance N' Masques|12|54|158|2.93|Action, Fantasy                                                                                         
Alice & Zoroku|13|53|234|4.42|Action, Adventure, Drama, Slice Of Life, Supernatural                                                     
To Be Heroine|8|53|231|4.36|Action, Comedy, Supernatural                                                                                
Captain Earth|25|53|181|3.42|Action, Mecha, Romance, Sci-Fi                                                                             
Walkure Romanze|12|53|178|3.36|Action, Drama, Harem, Romance, Sports                                                                    
Poco's Udon World|12|52|249|4.79|Comedy, Drama, Fantasy, Slice Of Life                                                                  
ISEKAI QUARTET|0|52|239|4.6|Comedy, Fantasy, Isekai                                                                                     
Ao-chan Can't Study!|12|52|237|4.56|Comedy, Romance                                                                                     
SSSS.GRIDMAN|0|52|218|4.19|Action, Drama, Mecha, Sci-Fi                                                                                 
The Ryuo's Work is Never Done!|12|52|195|3.75|                                                                                          
Diabolik Lovers II MORE,BLOOD|12|52|184|3.54|Drama, Harem, Romance, Supernatural                                                        
Arata the Legend|0|52|176|3.38|Action, Adventure, Fantasy, Isekai, Romance                                                              
Comet Lucifer|12|52|149|2.87|Fantasy                                                                                                    
Active Raid|24|52|141|2.71|Action, Mecha, Sci-Fi                                                                                        
Dai-Shogun - Great Revolution|12|52|120|2.31|Action, Harem, Historical, Mecha, Sci-Fi                                                   
WWW.Working!!|13|51|204|4.0|Comedy, Drama, Romance, Slice Of Life                                                                       
Are You Lost?|12|51|199|3.9|Comedy                                                                                                      
Kanojo ga Flag wo Oraretara (If Her Flag Breaks)|13|51|175|3.43|Comedy, Harem, Romance, Slice Of Life                                   
Gakuen Handsome|12|50|225|4.5|Comedy, Drama, Romance, Slice Of Life                                                                     
Toriko|146|50|221|4.42|Adventure, Fantasy, Shonen                                                                                       
The Pilot's Love Song|13|50|214|4.28|Action, Adventure, Drama, Romance                                                                  
Makai Ouji: Devils and Realist|12|50|204|4.08|Drama, Supernatural                                                                       
As Miss Beelzebub Likes it.|12|50|198|3.96|Comedy, Fantasy, Romance, Slice Of Life                                                      
Ms. Koizumi-san Loves Ramen Noodles|12|50|167|3.34|Comedy, Slice Of Life                                                                
Kamisama Hajimemashita|25|49|240|4.9|Comedy, Romance, Supernatural                                                                      
Ghost Stories|0|49|233|4.76|Comedy, Supernatural                                                                                        
Gourmet Girl Graffiti|0|49|221|4.51|Comedy, Seinen, Slice Of Life                                                                       
INVADERS of the ROKUJYOMA!?|12|49|217|4.43|Comedy, Harem, Romance, Supernatural                                                         
Kabaneri of the Iron Fortress|14|49|203|4.14|Action, Post-Apocalyptic, Supernatural, Thriller                                           
Tsugumomo|12|49|201|4.1|Comedy, Harem, Romance, Seinen, Supernatural                                                                    
Break Ups|0|49|200|4.08|Drama, Romance, Slice Of Life                                                                                   
Japanese Anime Classic Collection|0|49|194|3.96|Drama                                                                                   
Galaxy High School|0|49|158|3.22|Sci-Fi                                                                                                 
Mononoke|0|48|232|4.83|Action, Mystery, Supernatural, Thriller                                                                          
Tsurune|14|48|226|4.71|Drama, Slice Of Life, Sports                                                                                     
Ms. Vampire who lives in my neighborhood.|12|48|212|4.42|Comedy, Slice Of Life, Supernatural                                            
Science Fell in Love, So I Tried to Prove it|13|48|208|4.33|Comedy, Romance, Slice Of Life                                              
Anime Crimes Division|6|48|201|4.19|Action, Comedy, Drama, Sci-Fi                                                                       
Midnight occult civil servants|15|48|186|3.88|Supernatural                                                                              
Unlimited Fafnir|12|48|161|3.35|Action, Fantasy, Harem, Seinen, Supernatural                                                            
Basilisk : The Ouka Ninja Scrolls|24|48|104|2.17|Action, Drama, Fantasy, Historical, Romance, Seinen                                    
Ping Pong the Animation|0|47|233|4.96|Seinen, Sports                                                                                    
Planet With|12|47|215|4.57|Action, Comedy, Drama, Mecha, Sci-Fi, Seinen                                                                 
Wake Up, Girls!|35|47|200|4.26|Drama, Idols, Music, Slice Of Life                                                                       
Isekai Izakaya: Japanese Food From Another World|24|47|198|4.21|Fantasy, Isekai, Slice Of Life                                          
High School Fleet|12|47|198|4.21|Action, Sci-Fi                                                                                         
Holmes of Kyoto|12|47|194|4.13|Drama, Mystery, Romance, Slice Of Life                                                                   
Lord Marksman and Vanadis|0|47|192|4.09|Action, Adventure, Fantasy, Harem, Historical, Romance                                          
RIN-NE|75|46|202|4.39|Comedy, Fantasy, Romance, Slice Of Life, Supernatural                                                             
Ahiru no Sora|24|46|199|4.33|Shonen, Sports                                                                                             
The Severing Crime Edge|0|46|195|4.24|Action, Romance, Seinen                                                                           
Seton Academy: Join the Pack!|11|46|193|4.2|Comedy                                                                                      
Magical Girl Spec-Ops Asuka|12|46|185|4.02|Action, Fantasy                                                                              
Lovely Muuuuuuuco!|25|46|185|4.02|Comedy, Slice Of Life                                                                                 
UzaMaid!|13|46|176|3.83|Comedy, Seinen, Slice Of Life                                                                                   
Convenience Store Boy Friends|12|46|163|3.54|Romance, Slice Of Life                                                                     
Tokyo Ghoul: re|0|46|142|3.09|                                                                                                          
Love Live! Sunshine!!|26|45|206|4.58|Comedy, Drama, Idols, Music, Slice Of Life                                                         
GARO -VANISHING LINE-|24|45|202|4.49|Action, Fantasy, Sci-Fi, Supernatural                                                              
Yu-Gi-Oh!|3|45|191|4.24|Action, Adventure, Fantasy, Shonen, Supernatural                                                                
18if|0|45|159|3.53|Fantasy, Supernatural                                                                                                
Anifile|0|45|132|2.93|                                                                                                                  
Black Butler: Book of Circus|10|44|213|4.84|Action, Comedy, Mystery, Supernatural                                                       
A Certain Scientific Railgun|8|44|205|4.66|Action, Sci-Fi                                                                               
AIURA|12|44|185|4.2|Comedy, Slice Of Life                                                                                               
Comic Girls|12|44|184|4.18|Comedy, Slice Of Life                                                                                        
Owarimonogatari|15|43|204|4.74|Action, Comedy, Drama, Fantasy, Harem, Supernatural, Thriller                                            
Symphogear|65|43|199|4.63|Action, Adventure, Idols, Music, Sci-Fi                                                                       
Ojisan and Marshmallow|13|43|193|4.49|Comedy, Romance, Slice Of Life                                                                    
Teekyu|108|43|184|4.28|Comedy, Shonen, Slice Of Life, Sports                                                                            
Girly Air Force|12|43|170|3.95|Action, Sci-Fi                                                                                           
IDOLiSH7|18|42|202|4.81|Idols, Music                                                                                                    
YUYUSHIKI|0|42|191|4.55|Comedy, Slice Of Life                                                                                           
Kaede New Town|0|42|186|4.43|Comedy, Romance, Slice Of Life                                                                             
Full Metal Panic! Invisible Victory|0|42|185|4.4|Action, Drama, Mecha, Sci-Fi                                                           
A Certain Scientific Accelerator|12|42|173|4.12|Action, Sci-Fi                                                                          
This Art Club Has a Problem!|12|42|172|4.1|Comedy, Seinen, Slice Of Life                                                                
gdgd Fairies|24|42|170|4.05|                                                                                                            
Onee-chan ga Kita|12|42|165|3.93|Comedy, Slice Of Life                                                                                  
The Reflection|12|42|141|3.36|Action, Adventure, Sci-Fi                                                                                 
The Garden of Sinners|10|41|189|4.61|Action, Drama, Seinen, Supernatural, Thriller                                                      
Chitose Get You!|26|41|174|4.24|Comedy, Slice Of Life                                                                                   
Katana Maidens ~ Toji No Miko|25|41|165|4.02|Action, Fantasy, Supernatural                                                              
Miss Monochrome - The Animation|39|41|159|3.88|Comedy, Idols, Sci-Fi, Slice Of Life                                                     
Ai-Mai-Mi|13|41|145|3.54|Comedy, Slice Of Life                                                                                          
Ange Vierge|12|41|108|2.63|Action, Adventure, Fantasy, Sci-Fi                                                                           
Akagi|26|40|187|4.68|Drama, Thriller                                                                                                    
KINMOZA!|24|40|180|4.5|Comedy, Slice Of Life                                                                                            
Cuticle Detective Inaba|0|40|174|4.35|                                                                                                  
I've Always Liked You|1|40|169|4.22|Drama, Romance, Slice Of Life                                                                       
Photo Kano|0|40|122|3.05|Harem, Romance, Seinen                                                                                         
Chivalry of a Failed Knight|12|39|187|4.79|Action, Drama, Fantasy, Romance                                                              
Magic Kaito 1412|0|39|181|4.64|Adventure, Romance, Shonen                                                                               
This Boy is a Professional Wizard|4|39|173|4.44|Adventure, Fantasy, Romance                                                             
My Sweet Tyrant|25|39|160|4.1|Comedy, Romance                                                                                           
YU-NO: A Girl Who Chants Love at the Bound of This World|0|39|150|3.85|Adventure, Harem, Sci-Fi, Thriller                               
ALL OUT!!|25|38|186|4.89|Action, Drama, Sports                                                                                          
TO BE HERO|12|38|172|4.53|Action, Comedy, Fantasy, Supernatural                                                                         
